"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 04 17:34:13 EEST 2026","Sat Jul 04 17:36:18 EEST 2026","124379","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.NotificationTests","com.dxc.iot.tests.NotificationTests","testNotificationsPersistAfterReload_NT016","testNotificationsPersistAfterReload_NT016","Records notification count, reloads the page, opens panel again. Asserts notifications are still present — history must survive a refresh."
"passed","Sat Jul 04 18:11:56 EEST 2026","Sat Jul 04 18:12:11 EEST 2026","14679","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionDashboardTests","com.dxc.iot.tests.AirPollutionDashboardTests","testSameDayDateRange_AP023","testSameDayDateRange_AP023",""
"passed","Sat Jul 04 17:12:01 EEST 2026","Sat Jul 04 17:12:04 EEST 2026","3238","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.EntryPointTests","com.dxc.iot.tests.EntryPointTests","testModalClosesOnXButton_EP006","testModalClosesOnXButton_EP006","Navigates to /air-pollution then clicks browser Back. Asserts return to /home."
"passed","Sat Jul 04 17:54:45 EEST 2026","Sat Jul 04 17:54:54 EEST 2026","8862","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testPaginationResetsAfterFilter_SL022","testPaginationResetsAfterFilter_SL022",""
"passed","Sat Jul 04 17:12:53 EEST 2026","Sat Jul 04 17:13:01 EEST 2026","8427","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.NotificationTests","com.dxc.iot.tests.NotificationTests","testClickInsidePanelKeepsItOpen_NT011","testClickInsidePanelKeepsItOpen_NT011","Clicks .notif-panel header. Validates $event.stopPropagation() works."
"passed","Sat Jul 04 17:11:52 EEST 2026","Sat Jul 04 17:11:55 EEST 2026","3237","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.EntryPointTests","com.dxc.iot.tests.EntryPointTests","testModalClosesOnOutsideClick_EP007","testModalClosesOnOutsideClick_EP007","Navigates to /street-light then clicks browser Back. Asserts return to /home."
"passed","Sat Jul 04 18:11:29 EEST 2026","Sat Jul 04 18:11:34 EEST 2026","5290","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionDashboardTests","com.dxc.iot.tests.AirPollutionDashboardTests","testPollutionLevelFilter_DDT","testPollutionLevelFilter_DDT",""
"passed","Sat Jul 04 17:41:51 EEST 2026","Sat Jul 04 17:42:07 EEST 2026","15870","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.TrafficDashboardTests","com.dxc.iot.tests.TrafficDashboardTests","testExpandedSpeedChartCloses_CG010","testExpandedSpeedChartCloses_CG010","Opens the expanded Average Speed chart and clicks X. Asserts modal closes completely."
"passed","Sat Jul 04 17:10:26 EEST 2026","Sat Jul 04 17:10:28 EEST 2026","2841","IoT Automation Suite","Regression Tests","com.dxc.iot.tests.SessionTests","com.dxc.iot.tests.SessionTests","testAuthenticatedUserBlockedFromSignup_A068","testAuthenticatedUserBlockedFromSignup_A068",""
"passed","Sat Jul 04 17:04:56 EEST 2026","Sat Jul 04 17:05:03 EEST 2026","7196","IoT Automation Suite","Regression Tests","com.dxc.iot.tests.SettingsTests","com.dxc.iot.tests.SettingsTests","testSettingsPrePopulate_A051","testSettingsPrePopulate_A051",""
"passed","Sat Jul 04 17:42:50 EEST 2026","Sat Jul 04 17:42:55 EEST 2026","5174","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.TrafficDashboardTests","com.dxc.iot.tests.TrafficDashboardTests","testNextPaginationChangesData_TD003","testNextPaginationChangesData_TD003","Clicks Next and asserts the table loads different data."
"passed","Sat Jul 04 17:31:56 EEST 2026","Sat Jul 04 17:34:10 EEST 2026","133697","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.NotificationTests","com.dxc.iot.tests.NotificationTests","testEmptyStateAfterClearAll_NT009","testEmptyStateAfterClearAll_NT009","After Clear All, panel stays open and list is empty. Validates empty-state UI."
"passed","Sat Jul 04 17:55:04 EEST 2026","Sat Jul 04 17:55:10 EEST 2026","5825","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testPreviousPageNavigation_SL013","testPreviousPageNavigation_SL013",""
"passed","Sat Jul 04 17:10:40 EEST 2026","Sat Jul 04 17:10:46 EEST 2026","6031","IoT Automation Suite","Regression Tests","com.dxc.iot.tests.SessionTests","com.dxc.iot.tests.SessionTests","testJwtInterceptorPersistsAcrossNavigation","testJwtInterceptorPersistsAcrossNavigation",""
"passed","Sat Jul 04 17:10:32 EEST 2026","Sat Jul 04 17:10:36 EEST 2026","4318","IoT Automation Suite","Regression Tests","com.dxc.iot.tests.SessionTests","com.dxc.iot.tests.SessionTests","testBUG_LocalStoragePersists_A031","testBUG_LocalStoragePersists_A031",""
"passed","Sat Jul 04 17:43:38 EEST 2026","Sat Jul 04 17:43:43 EEST 2026","4792","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.TrafficDashboardTests","com.dxc.iot.tests.TrafficDashboardTests","testPreviousPageOnFirstPageIsNoOp_TD014","testPreviousPageOnFirstPageIsNoOp_TD014","Clicks Previous on page 1. Table must not change — no negative page navigation."
